materials property GapC ETC VBdispC CBdispC GapS ETS IPS EAS PolarTensorS AtomNumC RhoC EpsilonC MolWtS
PENCEN 0.2071147000000002 0.64213 0.77366119 0.20731 0.28752 1.13732901 0.8709963009999999 6.1534529000000004 1.581241329 703.5089999999999 72 0.804047554 3.8101923139999996 278
PERLEN05 0.4868999999999999 1.45177 1.582200813 0.04803 0.28718 1.86593678 1.606872549 6.623335151 1.035309212 633.487 128 0.8360834340000001 3.3451561560000003 252
PERLEN07 0.3622342999999999 1.34019 1.5254318740000001 0.54275 0.32595999999999997 1.86204144 1.602910096 6.622221641 1.03799931 633.4630000000001 64 0.84609077 3.405227426 252
PEZPIU 0.7098921999999996 1.8442 1.95868672 0.13179000000000002 0.06286 2.05212179 1.979487734 6.645333164 1.29554932 1026.563 208 0.7555809809999999 3.461697941 404
PEZPUG 0.7415992999999999 1.8275 1.917839641 0.14899 0.043769999999999996 2.05124008 1.9703835140000001 6.645859022000001 1.252484631 1031.151 208 0.780592356 3.1570193769999997 404
POBPIG 0.4603416999999999 1.20874 1.290381647 0.026539999999999998 0.09289 1.47725741 1.3070501429999999 6.498664396000001 1.929860699 1007.8480000000001 192 0.83568488 3.333495466 400
POBPIG06 0.3625274000000003 1.2192 1.3115656359999999 0.26324000000000003 0.1982 1.47569422 1.305501643 6.498442033 1.9322768019999998 1008.199 96 0.778426156 3.069857647 400
PUJQIV 1.3528531999999998 1.60792 1.7815001869999998 0.21486 0.16319 1.9728736 1.9040897 6.871430001 1.200358931 656.166 68 0.7667779509999999 3.13670104 254
PUNVEA 0.9220068 3.24522 3.2769488310000003 0.03487 0.03135 3.44675466 3.3254668539999996 6.4378267739999995 0.66870383 2509.65 528 0.729032242 3.352753929 990
PUNVIE 0.9929229 3.18407 3.234425832 0.05956 0.09963 3.4403678 3.2262529860000004 6.984526306 0.48370777200000004 1165.489 124 0.7214455259999999 2.8999400289999997 458
PYRPYR10 0.6012258000000004 1.8730000000000002 1.9124098409999999 0.11175 0.06334 2.15515556 1.919748765 6.467732924 1.0790944740000001 940.319 184 0.8304491829999999 3.3064747580000002 376
QQQCIG04 0.266 1.01556 1.148052713 0.47995 0.25879 1.47848411 1.19254124 6.07813343 1.422782835 1339.986 140 0.780602668 3.125107155 532
QQQCIG14 0.4420771000000001 1.17944 1.18974621 0.43311000000000005 0.14759 1.50010978 1.2096758440000002 6.09856769 1.3988011580000002 1338.566 70 0.779345328 3.118020978 532
QUPHEN 0.6781563000000004 2.34457 2.40130914 0.13722 0.33793 2.5973166 2.404226551 6.781471357999999 0.971238243 784.28 84 0.7559268729999999 3.055511834 306
QUPHEN01 0.6232364000000001 2.39894 2.498649803 0.09672 0.18048 2.7068319 2.5156700030000003 6.8184799510000005 0.895083471 784.585 168 0.78099569 3.236288487 306
RAKGOA 0.7161223999999997 2.27602 2.380197073 0.15163 0.16004000000000002 2.76361445 2.5998339390000003 7.1165936929999996 0.950444505 865.5039999999999 336 0.878699687 3.4728980519999997 350
REBWIE 0.6214007000000001 1.7707700000000002 1.8380336519999998 0.04442 0.12547 2.02824043 1.888695935 6.703991246 1.267272591 954.85 192 0.8036592909999999 3.208564317 378
SANQII 0.6203713000000001 2.19687 2.270078817 0.12857000000000002 0.12567 2.61771303 2.310354245 6.978917716000001 0.738691263 698.58 144 0.789828345 3.69571024 278
SETTES 0.3008000000000006 1.7828400000000002 1.8672142459999999 0.18107 0.52945 2.16148723 1.9960734980000001 6.336576163999999 1.247011061 1240.036 120 0.912341043 3.6385688989999996 1001
TAYSUJ 0.35537430000000003 0.8555799999999999 0.791258056 0.03338 0.00984 0.91756907 0.7072264309999999 5.402050378999999 2.056357041 2674.1690000000003 272 0.765731478 3.0409784189999995 1062
TBZHCE 0.12985069999999954 1.05354 1.25602621 0.15394000000000002 0.31511999999999996 1.54932508 1.3030843220000001 6.140981407000001 1.6928778869999999 1314.6789999999999 256 0.86074016 3.412365745 526
TBZPER 0.4561703000000002 1.70135 1.7376445 0.07237 0.08602 1.94708417 1.751398737 6.339577676 1.298956599 1064.11 416 0.8367734240000001 3.92453522 426
TEBNAP 0.8321112000000004 2.37185 2.404681678 0.11510999999999999 0.04386 2.64614569 2.36342011 6.8211155020000005 0.724746537 825.0369999999999 168 0.796166253 3.72714488 328
TERPHO02 1.0446843 3.362 3.472049768 0.07122 0.17254 3.71137562 3.433671237 7.538909048 -0.023135844 587.878 128 0.70167238 3.246650745 230
TETCEN01 0.4458389 1.09876 1.2175677059999999 0.21531 0.28686999999999996 1.62896857 1.331382992 6.539964682000001 1.1574632409999999 576.8330000000001 60 0.7968845940000001 3.206722615 228
TPHBEN01 1.0138257 3.08905 3.1964576389999997 0.21519000000000002 0.14528 3.62436999 3.318849772 7.35589922 0.316930426 786.4860000000001 168 0.723797988 2.9290346019999998 306
TRIPHE12 1.0971033999999995 2.97412 3.105837863 0.17368 0.16037 3.55900353 3.2782289369999997 7.535402567 0.099456407 572.886 120 0.7980225320000001 3.16055076 228
VEBJAO 0.4493868999999999 1.00826 0.926679267 0.01269 0.01318 1.05368763 0.8218575020000001 5.480729996 1.886124265 2625.36 544 0.7477680240000001 2.9836845339999996 1038
